Date,City,Country,Status,AQI_Value
5/7/2023,Jakarta,Indonesia,Moderate,84.0
5/8/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,115.0
5/9/2023,Jakarta,Indonesia,Moderate,79.0
5/10/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,118.0
5/11/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,132.0
5/12/2023,Jakarta,Indonesia,Moderate,99.0
5/13/2023,Jakarta,Indonesia,Moderate,53.0
5/14/2023,Jakarta,Indonesia,Moderate,90.0
5/15/2023,Jakarta,Indonesia,Moderate,87.0
5/16/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,113.0
5/17/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,103.0
5/18/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,128.0
5/19/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,144.0
5/20/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,139.0
5/21/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,138.0
5/22/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,143.0
5/23/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,148.0
5/24/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,121.0
5/25/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,146.0
5/26/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,142.0
5/27/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,141.0
5/28/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,140.0
5/29/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,126.0
5/30/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,134.0
5/31/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,140.0
6/1/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,139.0
6/2/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,131.0
6/3/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,149.0
6/4/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,125.0
6/5/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,130.0
6/6/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,123.0
6/7/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,128.0
6/8/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,137.0
6/9/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,121.0
6/10/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,118.0
6/11/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,129.0
6/12/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,142.0
6/13/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,135.0
6/14/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,130.0
6/15/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,128.0
6/16/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,146.0
6/17/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,107.0
6/18/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,121.0
6/19/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,117.0
6/20/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,102.0
6/21/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,121.0
6/22/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,141.0
6/23/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,132.0
6/24/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,120.0
6/25/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,107.0
6/26/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,124.0
6/27/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,120.0
6/28/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,138.0
6/29/2023,Jakarta,Indonesia,Moderate,77.0
6/30/2023,Jakarta,Indonesia,Moderate,75.0
7/1/2023,Jakarta,Indonesia,Moderate,80.0
7/2/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,127.0
7/3/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,115.0
7/4/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,129.0
7/5/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,116.0
7/6/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,143.0
7/7/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,142.0
7/8/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,136.0
7/9/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,106.0
7/10/2023,Jakarta,Indonesia,Moderate,100.0
7/11/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,109.0
7/12/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,107.0
7/13/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,150.0
7/14/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,143.0
7/15/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,130.0
7/16/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,110.0
7/17/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,122.0
7/18/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,117.0
7/19/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,143.0
